epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66075,2.71434,44.8488,0.69108,0,0,0,0,3.78198,22.022,0.90565,2e-05,2e-05,2e-05
2,14.4898,2.922,16.2421,1.06007,0.005,0.25,0.00456,0.00137,3.02743,13.8392,0.86682,5.92575e-05,5.92575e-05,5.92575e-05
3,19.1543,2.72874,13.6784,1.04577,0.01912,0.33333,0.0568,0.0202,2.53785,12.0319,0.84573,9.7525e-05,9.7525e-05,9.7525e-05
4,23.7014,2.66421,9.50831,0.97763,0.42264,0.25,0.15171,0.04623,3.01825,10.9444,0.87343,0.000134803,0.000134803,0.000134803
5,28.0668,2.69525,13.8778,0.93378,0.01208,0.25,0.05122,0.01087,2.75018,10.0953,0.90713,0.00017109,0.00017109,0.00017109
6,32.6183,3.05211,7.71763,0.98094,0.005,0.25,0.00383,0.00077,2.99019,10.6134,0.89167,0.000206388,0.000206388,0.000206388
7,36.9761,2.98173,6.77241,0.94697,0.06652,0.08333,0.02621,0.00653,3.15104,8.44832,0.88774,0.000240695,0.000240695,0.000240695
8,41.2771,2.86963,8.50019,0.92716,0.05359,0.16667,0.01808,0.00488,3.1987,9.31554,0.89663,0.000274012,0.000274012,0.000274012
9,45.5218,2.60894,4.55201,0.93228,0.00667,0.33333,0.00821,0.00214,3.11947,9.99948,0.89227,0.00030634,0.00030634,0.00030634
10,49.643,3.2522,9.75631,1.10972,0.00833,0.41667,0.01043,0.00308,3.00927,7.82699,0.88445,0.000337677,0.000337677,0.000337677
11,53.6779,2.51223,4.47349,0.91285,0.01167,0.58333,0.02368,0.00612,2.88548,7.32751,0.87834,0.000368025,0.000368025,0.000368025
12,57.9595,2.82923,3.49463,0.92201,0.01,0.5,0.01639,0.00438,2.81538,7.87117,0.87259,0.000397383,0.000397383,0.000397383
13,61.9925,2.98788,3.2536,0.90598,0.005,0.25,0.00595,0.00119,3.04154,10.1747,0.87079,0.00042575,0.00042575,0.00042575
14,66.4177,2.97552,3.76515,0.92181,0.005,0.25,0.00713,0.00091,3.22317,8.29594,0.88439,0.000453128,0.000453128,0.000453128
15,70.6427,2.42552,6.42625,0.80536,0.00167,0.08333,0.00102,0.00031,3.20448,9.20348,0.90042,0.000479515,0.000479515,0.000479515
16,74.9011,2.74566,2.62856,0.90387,0.00167,0.08333,0.00104,0.00031,3.37266,9.3201,0.92622,0.000504913,0.000504913,0.000504913
17,79.0926,2.75355,2.62887,0.90691,0,0,0,0,3.19766,8.39736,0.92418,0.00052932,0.00052932,0.00052932
18,83.2681,2.34348,2.09932,0.92699,0,0,0,0,3.3356,7.43473,0.9233,0.000552738,0.000552738,0.000552738
19,87.4662,2.30465,1.95831,0.88315,0,0,0,0,3.17625,6.3831,0.88833,0.000575165,0.000575165,0.000575165
20,91.6845,2.86581,2.25078,0.88725,0,0,0,0,3.81773,6.44489,0.92008,0.000596603,0.000596603,0.000596603
21,95.912,2.96037,2.04477,0.9404,0.00333,0.16667,0.0255,0.0073,4.21148,5.37151,0.94251,0.00061705,0.00061705,0.00061705
22,100.06,2.74653,2.27887,0.88168,0.00333,0.16667,0.02301,0.00489,3.9132,5.07306,0.93744,0.000636507,0.000636507,0.000636507
23,104.381,2.81122,2.04617,0.89197,0.00169,0.08333,0.00094,0.00028,3.86569,5.65566,0.94861,0.000654975,0.000654975,0.000654975
24,108.721,2.70635,1.90959,0.96724,0.0019,0.08333,0.00121,0.0006,3.63075,5.06877,0.93037,0.000672452,0.000672452,0.000672452
25,113.009,2.56384,1.90113,0.89283,0.00189,0.08333,0.00104,0.00031,3.88311,4.83921,0.93829,0.00068894,0.00068894,0.00068894
26,117.267,2.88484,1.89851,0.85261,0,0,0,0,3.9261,5.11501,0.95642,0.000704437,0.000704437,0.000704437
27,121.609,2.98161,1.81218,0.87783,0.00167,0.08333,0.00099,0.0002,3.96274,4.88567,0.93734,0.000718945,0.000718945,0.000718945
28,125.825,2.75622,1.72007,0.90164,0.00167,0.08333,0.00099,0.0002,3.96274,4.88567,0.93734,0.000732463,0.000732463,0.000732463
29,130.181,2.72596,1.63301,0.96098,0,0,0,0,3.8623,5.24563,0.92016,0.00074499,0.00074499,0.00074499
30,134.494,3.16094,2.36449,0.93715,0.00167,0.08333,0.00171,0.00017,3.6348,4.65061,0.90224,0.000756527,0.000756527,0.000756527
31,138.739,2.76944,1.67039,0.85883,0.00167,0.08333,0.00171,0.00017,3.6348,4.65061,0.90224,0.000767075,0.000767075,0.000767075
32,143.051,2.3354,1.48703,0.86282,0.00771,0.33333,0.10709,0.02147,3.87936,3.6429,0.93916,0.000776633,0.000776633,0.000776633
33,147.403,2.8324,1.46792,0.90236,0.4161,0.12471,0.18322,0.04098,4.04167,3.04407,0.94141,0.0007852,0.0007852,0.0007852
34,151.692,2.52442,1.81676,0.85658,0.4161,0.12471,0.18322,0.04098,4.04167,3.04407,0.94141,0.000792777,0.000792777,0.000792777
35,156.023,2.76984,1.48113,0.91246,0.67862,0.25,0.22875,0.05114,3.84378,2.74501,0.92968,0.000799365,0.000799365,0.000799365
36,160.558,2.57867,1.84057,0.84942,0.43999,0.16667,0.24335,0.05337,3.66925,2.64222,0.91243,0.000804962,0.000804962,0.000804962
37,164.884,2.57077,1.55205,0.82326,0.43999,0.16667,0.24335,0.05337,3.66925,2.64222,0.91243,0.00080957,0.00080957,0.00080957
38,169.35,2.61253,1.68923,0.88263,0.28571,0.08333,0.10895,0.03278,3.59423,2.62939,0.90832,0.000813187,0.000813187,0.000813187
39,173.733,2.44909,1.43514,0.88762,0.27322,0.08333,0.04739,0.01788,3.45998,2.8995,0.89423,0.000815815,0.000815815,0.000815815
40,178.01,2.92036,1.89947,0.90843,0.27322,0.08333,0.04739,0.01788,3.45998,2.8995,0.89423,0.000817452,0.000817452,0.000817452
41,182.283,2.44127,1.54887,0.86814,0.01113,0.25,0.01689,0.0049,3.20433,3.71251,0.8626,0.0008181,0.0008181,0.0008181
42,186.483,2.61264,1.5619,0.89774,0.00816,0.33333,0.01715,0.00388,3.28042,11.6163,0.89399,0.000817758,0.000817758,0.000817758
43,190.881,2.05008,1.42171,0.89559,0.00816,0.33333,0.01715,0.00388,3.28042,11.6163,0.89399,0.000816425,0.000816425,0.000816425
44,195.083,2.85653,1.80992,0.87166,0.00759,0.25,0.01339,0.00559,3.07787,6.66326,0.89787,0.000814102,0.000814102,0.000814102
45,199.326,2.79399,1.53436,0.88424,0.00759,0.25,0.01339,0.00559,3.07787,6.66326,0.89787,0.00081079,0.00081079,0.00081079
46,203.68,2.64521,1.60432,0.89859,0.13038,0.25,0.06904,0.01583,2.99212,3.27743,0.88244,0.000806487,0.000806487,0.000806487
47,207.739,2.21934,1.14846,0.88351,0.13038,0.25,0.06904,0.01583,2.99212,3.27743,0.88244,0.000801195,0.000801195,0.000801195
48,211.893,2.41699,1.55294,0.86642,0.23445,0.16667,0.10018,0.03555,2.73442,2.71749,0.84855,0.000794913,0.000794913,0.000794913
49,216.191,2.19377,1.4167,0.83401,0.23445,0.16667,0.10018,0.03555,2.73442,2.71749,0.84855,0.00078764,0.00078764,0.00078764
50,220.607,3.45445,2.09377,0.84798,0.23278,0.16667,0.1364,0.04777,3.12794,2.52343,0.85399,0.000779377,0.000779377,0.000779377
51,225.027,2.03731,1.23912,0.79991,0.23278,0.16667,0.1364,0.04777,3.12794,2.52343,0.85399,0.0007625,0.0007625,0.0007625
52,229.599,2.62083,1.53292,0.88382,0.92612,0.08333,0.10329,0.04248,3.28976,2.39088,0.86485,0.00073775,0.00073775,0.00073775
53,234.145,2.42021,1.56041,0.8908,0.92612,0.08333,0.10329,0.04248,3.28976,2.39088,0.86485,0.000713,0.000713,0.000713
54,238.531,2.19378,1.32246,0.87408,0.47331,0.08333,0.0775,0.02513,3.26952,2.32856,0.8589,0.00068825,0.00068825,0.00068825
55,242.837,2.79639,1.37223,0.92647,0.47331,0.08333,0.0775,0.02513,3.26952,2.32856,0.8589,0.0006635,0.0006635,0.0006635
56,247.326,2.43696,1.39883,0.83873,0.14973,0.16667,0.09547,0.02068,3.29975,2.50459,0.87275,0.00063875,0.00063875,0.00063875
57,251.541,2.87458,1.79366,0.82794,0.14973,0.16667,0.09547,0.02068,3.29975,2.50459,0.87275,0.000614,0.000614,0.000614
58,256,2.42831,1.27356,0.82176,0.23375,0.25,0.20695,0.05342,3.12164,2.2136,0.86685,0.00058925,0.00058925,0.00058925
59,260.312,2.15485,1.11099,0.83853,0.23375,0.25,0.20695,0.05342,3.12164,2.2136,0.86685,0.0005645,0.0005645,0.0005645
60,264.726,2.72529,1.45632,0.85526,0.31444,0.33333,0.21952,0.0609,3.19344,2.0298,0.87361,0.00053975,0.00053975,0.00053975
61,268.932,2.50452,1.32063,0.83561,0.31444,0.33333,0.21952,0.0609,3.19344,2.0298,0.87361,0.000515,0.000515,0.000515
62,273.33,2.3098,1.11091,0.80526,0.32603,0.41667,0.22937,0.07082,3.2152,1.92544,0.87779,0.00049025,0.00049025,0.00049025
63,277.759,2.68926,1.35208,0.90195,0.32603,0.41667,0.22937,0.07082,3.2152,1.92544,0.87779,0.0004655,0.0004655,0.0004655
64,282.131,2.50542,1.51687,0.81403,0.37146,0.39529,0.19849,0.06018,3.25026,1.86503,0.87377,0.00044075,0.00044075,0.00044075
65,288.419,1.93543,1.33111,0.91126,0.37146,0.39529,0.19849,0.06018,3.25026,1.86503,0.87377,0.000416,0.000416,0.000416
66,294.707,2.22118,1.224,0.81435,0.34412,0.33333,0.20215,0.06241,3.10738,1.82306,0.87768,0.00039125,0.00039125,0.00039125
67,300.984,2.3126,1.16249,0.86219,0.34412,0.33333,0.20215,0.06241,3.10738,1.82306,0.87768,0.0003665,0.0003665,0.0003665
68,307.209,2.00767,1.31581,0.78609,0.46354,0.33333,0.31977,0.08045,2.95793,1.82569,0.87937,0.00034175,0.00034175,0.00034175
69,313.264,2.21499,1.1483,0.86047,0.46354,0.33333,0.31977,0.08045,2.95793,1.82569,0.87937,0.000317,0.000317,0.000317
70,319.449,2.25187,1.11931,0.84784,0.35811,0.25,0.24558,0.0726,2.91309,1.82731,0.8767,0.00029225,0.00029225,0.00029225
71,325.56,2.22354,1.06413,0.87816,0.35811,0.25,0.24558,0.0726,2.91309,1.82731,0.8767,0.0002675,0.0002675,0.0002675
72,330.932,2.26526,1.16737,0.85683,0.30121,0.25,0.21096,0.07176,2.88157,1.88547,0.87485,0.00024275,0.00024275,0.00024275
73,335.39,2.12158,1.16465,0.82848,0.30121,0.25,0.21096,0.07176,2.88157,1.88547,0.87485,0.000218,0.000218,0.000218
74,341.507,2.06828,1.15656,0.87759,0.3237,0.25,0.21759,0.08218,2.73601,1.88098,0.87126,0.00019325,0.00019325,0.00019325
75,347.416,2.19111,1.29977,0.79953,0.3237,0.25,0.21759,0.08218,2.73601,1.88098,0.87126,0.0001685,0.0001685,0.0001685
76,353.647,1.82211,0.99454,0.83804,0.31608,0.25,0.21304,0.0884,2.65957,1.86194,0.86943,0.00014375,0.00014375,0.00014375
77,359.729,2.41561,1.20787,0.83294,0.31608,0.25,0.21304,0.0884,2.65957,1.86194,0.86943,0.000119,0.000119,0.000119
78,365.902,2.15928,1.46196,0.81793,0.41553,0.33333,0.35237,0.10261,2.63504,1.82259,0.8732,9.425e-05,9.425e-05,9.425e-05
79,371.704,2.94476,1.98921,0.81747,0.41553,0.33333,0.35237,0.10261,2.63504,1.82259,0.8732,6.95e-05,6.95e-05,6.95e-05
80,377.973,2.82796,1.46627,0.79853,0.41715,0.33333,0.36074,0.11124,2.62422,1.81351,0.87449,4.475e-05,4.475e-05,4.475e-05
